user_id,step,timestamp,,,,,,,,,,,,,,,RECOMMENTATION NOTE,,,,,
U121,signup_started,20-07-2026 03:53,,Column1,UNIQUE USERS,CONVERSION RATE,DROP USERS,DROP-OFF PERCENTAGE,,,,,,,,,"The largest drop-off occurs at the Email Verification stage, indicating that users are abandoning the signup process due to added friction. Simplifying this step by introducing one-click verification, allowing temporary access before verification, and providing an easy resend option can improve the user experience. These changes are likely to increase user retention and improve the overall funnel conversion rate.",,,,,
U020,signup_started,20-07-2026 04:15,,,,,,,,,,,,,,,,,,,,
U097,visited_site,20-07-2026 03:42,,,,,,,,,,,,,,,,,,,,
U036,visited_site,20-07-2026 03:36,,,,,,,,,,,,,,,,,,,,
U105,purchase_completed,20-07-2026 04:52,,,,,,,,,,,,,,,,,,,,
U012,visited_site,20-07-2026 03:56,,,,,,,,,,,,,,,,,,,,
U044,signup_started,20-07-2026 04:04,,,,,,,,,,,,,,,,,,,,
U089,visited_site,20-07-2026 04:04,,,,,,,,,,,,,,,,,,,,
U165,details_filled,20-07-2026 04:30,,,,,,,,,,,,,,,,,,,,
U019,details_filled,20-07-2026 04:02,,,,,,,,,,,,,,,,,,,,
U135,visited_site,20-07-2026 03:48,,,,,,,,,,,,,,,,,,,,
U126,visited_site,20-07-2026 04:06,,,,,,,,,,,,,,,,,,,,
U196,details_filled,20-07-2026 04:18,,,,,,,,,,,,,,,,,,,,
U019,visited_site,20-07-2026 03:44,,,,,,,,,,,,,,,,,,,,
U094,email_verified,20-07-2026 04:32,,,,,,,,,,,,,,,,,,,,
U156,visited_site,20-07-2026 03:44,,,,,,,,,,,,,,,,,,,,
U108,visited_site,20-07-2026 04:01,,,,,,,,,,,,,,,,,,,,
U109,purchase_completed,20-07-2026 05:04,,,,,,,,,,,,,,,,,,,,
U093,visited_site,20-07-2026 03:53,,,,,,,,,,,,,,,,,,,,
U131,purchase_completed,20-07-2026 05:01,,,,,,,,,,,,,,,,,,,,
U055,email_verified,20-07-2026 04:26,,,,,,,,,,,,,,,,,,,,
U042,details_filled,20-07-2026 04:28,,,,,,,,,,,,,,,,,,,,
U141,visited_site,20-07-2026 03:57,,,,,,,,,,,,,,,,,,,,
U149,signup_started,20-07-2026 03:47,,,,,,,,,,,,,,,,,,,,
U003,details_filled,20-07-2026 04:13,,,,,,,,,,,,,,,,,,,,
U139,purchase_completed,20-07-2026 04:42,,,,,,,,,,,,,,,,,,,,
U146,signup_started,20-07-2026 03:50,,,,,,,,,,,,,,,,,,,,
U187,details_filled,20-07-2026 04:00,,,,,,,,,,,,,,,,,,,,
U046,visited_site,20-07-2026 04:08,,,,,,,,,,,,,,,,,,,,
U146,visited_site,20-07-2026 03:35,,,,,,,,,,,,,,,,,,,,
U135,purchase_completed,20-07-2026 05:00,,,,,,,,,,,,,,,,,,,,
U033,signup_started,20-07-2026 04:00,,,,,,,,,,,,,,,,,,,,
U153,visited_site,20-07-2026 03:44,,,,,,,,,,,,,,,,,,,,
U111,visited_site,20-07-2026 04:05,,,,,,,,,,,,,,,,,,,,
U109,signup_started,20-07-2026 04:04,,,,,,,,,,,,,,,,,,,,
U016,details_filled,20-07-2026 04:24,,,,,,,,,,,,,,,,,,,,
U070,signup_started,20-07-2026 04:19,,,,,,,,,,,,,,,,,,,,
U011,details_filled,20-07-2026 04:27,,,,,,,,,,,,,,,,,,,,
U105,visited_site,20-07-2026 03:47,,,,,,,,,,,,,,,,,,,,
U196,visited_site,20-07-2026 03:50,,,,,,,,,,,,,,,,,,,,
U198,visited_site,20-07-2026 03:50,,,,,,,,,,,,,,,,,,,,
U008,visited_site,20-07-2026 04:09,,,,,,,,,,,,,,,,,,,,
U056,email_verified,20-07-2026 04:43,,,,,,,,,,,,,,,,,,,,
U015,details_filled,20-07-2026 04:08,,,,,,,,,,,,,,,,,,,,
U002,signup_started,20-07-2026 03:46,,,,,,,,,,,,,,,,,,,,
U037,visited_site,20-07-2026 03:59,,,,,,,,,,,,,,,,,,,,
U185,visited_site,20-07-2026 04:01,,,,,,,,,,,,,,,,,,,,
U104,visited_site,20-07-2026 04:01,,,,,,,,,,,,,,,,,,,,
U043,signup_started,20-07-2026 04:05,,,,,,,,,,,,,,,,,,,,
U022,signup_started,20-07-2026 03:55,,,,,,,,,,,,,,,,,,,,
U099,purchase_completed,20-07-2026 04:32,,,,,,,,,,,,,,,,,,,,
U086,signup_started,20-07-2026 04:02,,,,,,,,,,,,,,,,,,,,
U124,signup_started,20-07-2026 03:58,,,,,,,,,,,,,,,,,,,,
U195,visited_site,20-07-2026 03:58,,,,,,,,,,,,,,,,,,,,
U040,details_filled,20-07-2026 04:01,,,,,,,,,,,,,,,,,,,,
U110,visited_site,20-07-2026 03:37,,,,,,,,,,,,,,,,,,,,
U023,details_filled,20-07-2026 04:28,,,,,,,,,,,,,,,,,,,,
U137,purchase_completed,20-07-2026 04:39,,,,,,,,,,,,,,,,,,,,
U188,details_filled,20-07-2026 04:19,,,,,,,,,,,,,,,,,,,,
U136,purchase_completed,20-07-2026 04:31,,,,,,,,,,,,,,,,,,,,
U134,visited_site,20-07-2026 04:05,,,,,,,,,,,,,,,,,,,,
U018,visited_site,20-07-2026 03:57,,,,,,,,,,,,,,,,,,,,
U113,visited_site,20-07-2026 03:45,,,,,,,,,,,,,,,,,,,,
U133,purchase_completed,20-07-2026 04:45,,,,,,,,,,,,,,,,,,,,
U127,visited_site,20-07-2026 04:02,,,,,,,,,,,,,,,,,,,,
U056,signup_started,20-07-2026 04:23,,,,,,,,,,,,,,,,,,,,
U125,visited_site,20-07-2026 03:33,,,,,,,,,,,,,,,,,,,,
U055,signup_started,20-07-2026 03:59,,,,,,,,,,,,,,,,,,,,
U034,details_filled,20-07-2026 04:05,,,,,,,,,,,,,,,,,,,,
U003,signup_started,20-07-2026 04:24,,,,,,,,,,,,,,,,,,,,
U010,signup_started,20-07-2026 04:24,,,,,,,,,,,,,,,,,,,,
U090,signup_started,20-07-2026 04:18,,,,,,,,,,,,,,,,,,,,
U001,signup_started,20-07-2026 04:11,,,,,,,,,,,,,,,,,,,,
U004,details_filled,20-07-2026 04:33,,,,,,,,,,,,,,,,,,,,
U059,visited_site,20-07-2026 04:03,,,,,,,,,,,,,,,,,,,,
U125,signup_started,20-07-2026 04:00,,,,,,,,,,,,,,,,,,,,
U035,details_filled,20-07-2026 04:30,,,,,,,,,,,,,,,,,,,,
U036,signup_started,20-07-2026 03:54,,,,,,,,,,,,,,,,,,,,
U039,details_filled,20-07-2026 04:03,,,,,,,,,,,,,,,,,,,,
U103,visited_site,20-07-2026 04:04,,,,,,,,,,,,,,,,,,,,
U184,details_filled,20-07-2026 04:08,,,,,,,,,,,,,,,,,,,,
U169,details_filled,20-07-2026 04:31,,,,,,,,,,,,,,,,,,,,
U012,details_filled,20-07-2026 04:15,,,,,,,,,,,,,,,,,,,,
U037,details_filled,20-07-2026 04:29,,,,,,,,,,,,,,,,,,,,
U085,signup_started,20-07-2026 04:14,,,,,,,,,,,,,,,,,,,,
U001,details_filled,20-07-2026 04:05,,,,,,,,,,,,,,,,,,,,
U088,signup_started,20-07-2026 04:18,,,,,,,,,,,,,,,,,,,,
U177,details_filled,20-07-2026 04:38,,,,,,,,,,,,,,,,,,,,
U019,signup_started,20-07-2026 03:53,,,,,,,,,,,,,,,,,,,,
U031,details_filled,20-07-2026 04:18,,,,,,,,,,,,,,,,,,,,
U112,visited_site,20-07-2026 03:35,,,,,,,,,,,,,,,,,,,,
U057,email_verified,20-07-2026 04:42,,,,,,,,,,,,,,,,,,,,
U179,visited_site,20-07-2026 03:51,,,,,,,,,,,,,,,,,,,,
U051,visited_site,20-07-2026 03:57,,,,,,,,,,,,,,,,,,,,
U049,email_verified,20-07-2026 04:35,,,,,,,,,,,,,,,,,,,,
U171,details_filled,20-07-2026 04:33,,,,,,,,,,,,,,,,,,,,
U103,purchase_completed,20-07-2026 04:32,,,,,,,,,,,,,,,,,,,,
U110,signup_started,20-07-2026 04:12,,,,,,,,,,,,,,,,,,,,
U022,visited_site,20-07-2026 04:08,,,,,,,,,,,,,,,,,,,,
U049,signup_started,20-07-2026 04:11,,,,,,,,,,,,,,,,,,,,
U041,details_filled,20-07-2026 04:05,,,,,,,,,,,,,,,,,,,,
U182,details_filled,20-07-2026 04:31,,,,,,,,,,,,,,,,,,,,
U190,details_filled,20-07-2026 04:15,,,,,,,,,,,,,,,,,,,,
U102,visited_site,20-07-2026 03:43,,,,,,,,,,,,,,,,,,,,
U025,visited_site,20-07-2026 04:04,,,,,,,,,,,,,,,,,,,,
U122,visited_site,20-07-2026 03:33,,,,,,,,,,,,,,,,,,,,
U130,visited_site,20-07-2026 03:51,,,,,,,,,,,,,,,,,,,,
U061,visited_site,20-07-2026 03:32,,,,,,,,,,,,,,,,,,,,
U026,details_filled,20-07-2026 04:03,,,,,,,,,,,,,,,,,,,,
U079,email_verified,20-07-2026 04:40,,,,,,,,,,,,,,,,,,,,
U018,signup_started,20-07-2026 03:50,,,,,,,,,,,,,,,,,,,,
U114,visited_site,20-07-2026 03:45,,,,,,,,,,,,,,,,,,,,
U028,signup_started,20-07-2026 04:21,,,,,,,,,,,,,,,,,,,,
U129,visited_site,20-07-2026 03:34,,,,,,,,,,,,,,,,,,,,
U058,email_verified,20-07-2026 04:24,,,,,,,,,,,,,,,,,,,,
U023,visited_site,20-07-2026 03:36,,,,,,,,,,,,,,,,,,,,
U012,signup_started,20-07-2026 04:12,,,,,,,,,,,,,,,,,,,,
U138,signup_started,20-07-2026 04:03,,,,,,,,,,,,,,,,,,,,
U067,email_verified,20-07-2026 04:46,,,,,,,,,,,,,,,,,,,,
U094,visited_site,20-07-2026 03:45,,,,,,,,,,,,,,,,,,,,
U130,signup_started,20-07-2026 03:52,,,,,,,,,,,,,,,,,,,,
U133,visited_site,20-07-2026 04:07,,,,,,,,,,,,,,,,,,,,
U031,signup_started,20-07-2026 04:04,,,,,,,,,,,,,,,,,,,,
U007,visited_site,20-07-2026 04:04,,,,,,,,,,,,,,,,,,,,
U082,signup_started,20-07-2026 04:18,,,,,,,,,,,,,,,,,,,,
U186,visited_site,20-07-2026 03:58,,,,,,,,,,,,,,,,,,,,
U045,visited_site,20-07-2026 03:42,,,,,,,,,,,,,,,,,,,,
U164,details_filled,20-07-2026 04:05,,,,,,,,,,,,,,,,,,,,
U162,details_filled,20-07-2026 04:10,,,,,,,,,,,,,,,,,,,,
U072,email_verified,20-07-2026 04:19,,,,,,,,,,,,,,,,,,,,
U117,purchase_completed,20-07-2026 04:41,,,,,,,,,,,,,,,,,,,,
U004,visited_site,20-07-2026 04:03,,,,,,,,,,,,,,,,,,,,
U028,details_filled,20-07-2026 04:28,,,,,,,,,,,,,,,,,,,,
U001,visited_site,20-07-2026 03:47,,,,,,,,,,,,,,,,,,,,
U182,visited_site,20-07-2026 04:03,,,,,,,,,,,,,,,,,,,,
U063,email_verified,20-07-2026 04:27,,,,,,,,,,,,,,,,,,,,
U121,purchase_completed,20-07-2026 05:06,,,,,,,,,,,,,,,,,,,,
U189,visited_site,20-07-2026 03:41,,,,,,,,,,,,,,,,,,,,
U037,signup_started,20-07-2026 04:17,,,,,,,,,,,,,,,,,,,,
U188,visited_site,20-07-2026 03:48,,,,,,,,,,,,,,,,,,,,
U147,signup_started,20-07-2026 04:16,,,,,,,,,,,,,,,,,,,,
U064,visited_site,20-07-2026 03:34,,,,,,,,,,,,,,,,,,,,
U094,signup_started,20-07-2026 04:16,,,,,,,,,,,,,,,,,,,,
U119,signup_started,20-07-2026 04:02,,,,,,,,,,,,,,,,,,,,
U056,visited_site,20-07-2026 03:51,,,,,,,,,,,,,,,,,,,,
U200,details_filled,20-07-2026 04:08,,,,,,,,,,,,,,,,,,,,
U014,visited_site,20-07-2026 03:36,,,,,,,,,,,,,,,,,,,,
U115,signup_started,20-07-2026 04:08,,,,,,,,,,,,,,,,,,,,
U180,visited_site,20-07-2026 04:08,,,,,,,,,,,,,,,,,,,,
U039,visited_site,20-07-2026 04:08,,,,,,,,,,,,,,,,,,,,
U064,signup_started,20-07-2026 04:20,,,,,,,,,,,,,,,,,,,,
U191,details_filled,20-07-2026 04:10,,,,,,,,,,,,,,,,,,,,
U035,visited_site,20-07-2026 04:05,,,,,,,,,,,,,,,,,,,,
U105,signup_started,20-07-2026 04:19,,,,,,,,,,,,,,,,,,,,
U100,purchase_completed,20-07-2026 04:47,,,,,,,,,,,,,,,,,,,,
U063,visited_site,20-07-2026 04:00,,,,,,,,,,,,,,,,,,,,
U025,signup_started,20-07-2026 04:23,,,,,,,,,,,,,,,,,,,,
U034,visited_site,20-07-2026 03:36,,,,,,,,,,,,,,,,,,,,
U026,signup_started,20-07-2026 04:13,,,,,,,,,,,,,,,,,,,,
U050,visited_site,20-07-2026 03:38,,,,,,,,,,,,,,,,,,,,
U126,signup_started,20-07-2026 04:07,,,,,,,,,,,,,,,,,,,,
U175,visited_site,20-07-2026 04:09,,,,,,,,,,,,,,,,,,,,
U176,visited_site,20-07-2026 03:30,,,,,,,,,,,,,,,,,,,,
U077,email_verified,20-07-2026 04:38,,,,,,,,,,,,,,,,,,,,
U025,details_filled,20-07-2026 04:13,,,,,,,,,,,,,,,,,,,,
U038,visited_site,20-07-2026 03:33,,,,,,,,,,,,,,,,,,,,
U125,purchase_completed,20-07-2026 04:45,,,,,,,,,,,,,,,,,,,,
U010,visited_site,20-07-2026 03:48,,,,,,,,,,,,,,,,,,,,
U194,visited_site,20-07-2026 03:49,,,,,,,,,,,,,,,,,,,,
U184,visited_site,20-07-2026 03:59,,,,,,,,,,,,,,,,,,,,
U120,signup_started,20-07-2026 03:46,,,,,,,,,,,,,,,,,,,,
U036,details_filled,20-07-2026 04:13,,,,,,,,,,,,,,,,,,,,
U032,signup_started,20-07-2026 04:15,,,,,,,,,,,,,,,,,,,,
U117,signup_started,20-07-2026 04:13,,,,,,,,,,,,,,,,,,,,
U045,details_filled,20-07-2026 04:11,,,,,,,,,,,,,,,,,,,,
U183,details_filled,20-07-2026 04:10,,,,,,,,,,,,,,,,,,,,
U151,details_filled,20-07-2026 04:35,,,,,,,,,,,,,,,,,,,,
U126,purchase_completed,20-07-2026 05:06,,,,,,,,,,,,,,,,,,,,
U086,email_verified,20-07-2026 04:49,,,,,,,,,,,,,,,,,,,,
U140,signup_started,20-07-2026 03:47,,,,,,,,,,,,,,,,,,,,
U148,signup_started,20-07-2026 04:05,,,,,,,,,,,,,,,,,,,,
U189,details_filled,20-07-2026 04:05,,,,,,,,,,,,,,,,,,,,
U032,details_filled,20-07-2026 04:01,,,,,,,,,,,,,,,,,,,,
U145,signup_started,20-07-2026 03:50,,,,,,,,,,,,,,,,,,,,
U158,details_filled,20-07-2026 04:35,,,,,,,,,,,,,,,,,,,,
U108,purchase_completed,20-07-2026 04:38,,,,,,,,,,,,,,,,,,,,
U098,email_verified,20-07-2026 04:50,,,,,,,,,,,,,,,,,,,,
U033,details_filled,20-07-2026 04:18,,,,,,,,,,,,,,,,,,,,
U060,email_verified,20-07-2026 04:45,,,,,,,,,,,,,,,,,,,,
U123,purchase_completed,20-07-2026 04:59,,,,,,,,,,,,,,,,,,,,
U107,purchase_completed,20-07-2026 05:03,,,,,,,,,,,,,,,,,,,,
U134,purchase_completed,20-07-2026 04:46,,,,,,,,,,,,,,,,,,,,
U083,email_verified,20-07-2026 04:25,,,,,,,,,,,,,,,,,,,,
U106,purchase_completed,20-07-2026 04:30,,,,,,,,,,,,,,,,,,,,
U138,purchase_completed,20-07-2026 04:33,,,,,,,,,,,,,,,,,,,,
U097,email_verified,20-07-2026 04:23,,,,,,,,,,,,,,,,,,,,
U131,signup_started,20-07-2026 03:54,,,,,,,,,,,,,,,,,,,,
U142,purchase_completed,20-07-2026 04:54,,,,,,,,,,,,,,,,,,,,
U068,email_verified,20-07-2026 04:20,,,,,,,,,,,,,,,,,,,,
